43,C645,45.167907,-93.143305,I-35W: NB @ Sunset Road,in Circle Pines,true,https://video.dot.state.mn.us/video/image/metro/C645
44,C646,45.172538,-93.124855,I-35W: NB S of Co Rd 23,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C646
45,C647,45.18076,-93.11066,I-35W: SB @ Co Rd 23,in Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C647
46,C648,45.192584,-93.072845,I-35W: NB @ Co Rd 14,in Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C648
47,C649,45.199481,-93.052959,I-35W: NB N of Co Rd 14,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C649
48,C650,45.21444,-93.034558,I-35W: NB S of I-35E,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C650
49,C010,44.744,-93.276168,I-35E: SB @ Co Rd 42,in Burnsville,true,https://video.dot.state.mn.us/video/image/metro/C010
50,C011,44.753577,-93.261042,I-35E: NB @ McAndrews Road,in Burnsville,true,https://video.dot.state.mn.us/video/image/metro/C011
51,C012,44.759279,-93.247756,I-35E: SB @ Co Rd 11,in Burnsville,true,https://video.dot.state.mn.us/video/image/metro/C012
52,C013,44.766687,-93.235615,I-35E: SB S of MN 77,near Burnsville,true,https://video.dot.state.mn.us/video/image/metro/C013
53,C014,44.777166,-93.218915,I-35E: NB @ MN 77,near Apple Valley,true,https://video.dot.state.mn.us/video/image/metro/C014
54,C015,44.789887,-93.201594,I-35E: SB @ Cliff Road,near Eagan,true,https://video.dot.state.mn.us/video/image/metro/C015
55,C016,44.804671,-93.190188,I-35E: SB @ Diffley Road,in Eagan,true,https://video.dot.state.mn.us/video/image/metro/C016
56,C017,44.811524,-93.182541,I-35E: SB @ Deerwood Drive,in Eagan,true,https://video.dot.state.mn.us/video/image/metro/C017
57,C018,44.822796,-93.172574,I-35E: NB @ Pilot Knob Road,in Eagan,true,https://video.dot.state.mn.us/video/image/metro/C018
58,C019,44.833879,-93.163334,I-35E: SB @ Yankee Doodle Road,in Eagan,true,https://video.dot.state.mn.us/video/image/metro/C019
59,C022,44.874804,-93.143097,I-35E: SB @ Wagon Wheel Trail,in Mendota Heights,true,https://video.dot.state.mn.us/video/image/metro/C022
60,C023,44.88356,-93.13861,I-35E: SB @ MN 110,in Mendota Heights,true,https://video.dot.state.mn.us/video/image/metro/C023
61,C024,44.888744,-93.131906,I-35E: SB N of MN 110,in Mendota Heights,true,https://video.dot.state.mn.us/video/image/metro/C024
62,C025,44.893157,-93.13093,I-35E: SB S of MN 13,in Mendota Heights,true,https://video.dot.state.mn.us/video/image/metro/C025
63,C026,44.900848,-93.135548,I-35E: SB @ MN 13,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C026
64,C027,44.910965,-93.143844,I-35E: SB @ Shepard Road,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C027
65,C028,44.915015,-93.144323,I-35E: SB @ W. 7th Street,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C028
66,C029,44.926627,-93.144829,I-35E: SB @ Randolph Avenue,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C029
67,C030,44.9296,-93.142914,I-35E: SB @ Jefferson Avenue,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C030
68,C031,44.93168,-93.131097,I-35E: SB @ Victoria Street,in Lilydale,true,https://video.dot.state.mn.us/video/image/metro/C031
69,C032,44.934662,-93.125873,I-35E: SB @ St. Clair Avenue,in Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C032
70,C033,44.939532,-93.116432,I-35E: SB @ Grand Avenue,in Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C033
71,C034,44.946926,-93.104096,I-35E: SB @ Kellogg Blvd,in Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C034
72,C035,44.95594,-93.090824,I-35E: NB @ University Avenue,in Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C035
73,C036,44.966203,-93.090931,I-35E: SB @ Cayuga Street,in Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C036
74,C037,44.977367,-93.088575,I-35E: NB @ Maryland Avenue,near Saint Paul,true,https://video.dot.state.mn.us/video/image/metro/C037
75,C038,44.99195,-93.089181,I-35E: NB @ Larpenteur Avenue,near Little Canada,true,https://video.dot.state.mn.us/video/image/metro/C038
76,C039,45.005002,-93.089452,I-35E: SB @ Roselawn Avenue,in Little Canada,true,https://video.dot.state.mn.us/video/image/metro/C039
77,C040,45.023276,-93.089536,I-35E: NB @ Little Canada Road,in Little Canada,true,https://video.dot.state.mn.us/video/image/metro/C040
78,C041,45.050103,-93.058883,I-35E: SB @ Co Rd E,in Vadnais Heights,true,https://video.dot.state.mn.us/video/image/metro/C041
79,C042,45.070162,-93.053723,I-35E: SB S of Co Rd 96,in Gem Lake,true,https://video.dot.state.mn.us/video/image/metro/C042
80,C043,45.079128,-93.052697,I-35E: NB @ Co Rd 96,in Gem Lake,true,https://video.dot.state.mn.us/video/image/metro/C043
81,C044,45.09381,-93.051985,I-35E: SB N of Co Rd 96,in White Bear Lake,true,https://video.dot.state.mn.us/video/image/metro/C044
82,C045,45.110834,-93.049314,I-35E: NB N of Co Rd H2,near North Oaks,true,https://video.dot.state.mn.us/video/image/metro/C045
83,C046,45.124075,-93.049554,I-35E: SB @ Co Rd J,near North Oaks,true,https://video.dot.state.mn.us/video/image/metro/C046
84,C047,45.131864,-93.043408,I-35E: N of Co Rd J,near North Oaks,true,https://video.dot.state.mn.us/video/image/metro/C047
85,C048,45.137564,-93.038719,I-35E: NB @ 64th Street,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C048
86,C049,45.145704,-93.032227,I-35E: NB @ Tart Lake Road,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C049
87,C050,45.164031,-93.031109,I-35E: SB @ Main Street,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C050
88,C051,45.17379,-93.029657,I-35E: NB N of Main Street,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C051
89,C053,45.196114,-93.029633,I-35E: NB @ 80th Street,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C053
90,C054,45.210895,-93.029005,I-35E: NB S of I-35W,near Lino Lakes,true,https://video.dot.state.mn.us/video/image/metro/C054
91,C1628,44.9737,-93.249497,I-35W: NB @ Washington Avenue,in Minneapolis,true,https://video.dot.state.mn.us/video/image/metro/C1628
92,C1629,44.981958,-93.243571,I-35W: NB @ University Avenue,near Minneapolis,true,https://video.dot.state.mn.us/video/image/metro/C1629
93,C766,45.476273,-94.138899,I-94: WB E of Co Rd 75,near Saint Augusta,true,https://video.dot.state.mn.us/video/image/metro/C766
